industry,pitch,median
Accounting,Product_1,5.8500000000000005
Advertising/PR,Product_1,6.603509617922342
Advertising/PR,Product_2,6.125
Aerospace/Defense,Product_1,6.4
Aerospace/Defense,Product_2,6.15
Aircraft Parts,Product_1,6.2
Airlines/Air Couriers,Product_1,6.6499999999999995
Airlines/Air Couriers,Product_2,6.282485145996517
Alternative,Product_1,6.216628621840261
Alternative,Product_2,6.296096624829971
Apparel Products,Product_1,6.0
Apparel Products,Product_2,6.199999999999999
Apparel Retail,Product_1,6.25
Apparel Retail,Product_2,6.3999999999999995
Appliances/Tools,Product_1,6.0
Appliances/Tools,Product_2,6.95
Architecture/Engineering,Product_1,6.325
Architecture/Engineering,Product_2,6.25
Associations,Product_1,6.324999999999999
Associations,Product_2,6.35
Auto Dealers,Product_1,6.45
Auto Manufacturers,Product_1,6.574999999999999
Auto Manufacturers,Product_2,6.306498275449232
Auto Parts/Services,Product_1,6.200000000000001
Auto Parts/Services,Product_2,6.199999999999999
Automotive/Transportation,Product_1,6.3999999999999995
Automotive/Transportation,Product_2,6.300890242908645
B2B eCommerce,Product_1,6.35
B2B eCommerce,Product_2,6.175000000000001
BSPs (Broadband),Product_2,6.15
Banks,Product_1,6.297268997968031
Banks,Product_2,6.28428994452151
Beverages (Alcoholic),Product_1,6.299802966112984
Beverages (Alcoholic),Product_2,6.225
Beverages (Non-Alcoholic),Product_1,5.949999999999999
Beverages (Non-Alcoholic),Product_2,6.225
BioTech/Drugs,Product_1,6.3500000000000005
BioTech/Drugs,Product_2,6.3500000000000005
Biotech/Healthcare,Product_1,6.304439953392787
Biotech/Healthcare,Product_2,6.2
Book,Product_1,5.925000000000001
Casinos/Gaming,Product_1,5.9
Casinos/Gaming,Product_2,6.35
Catalog/MailOrder,Product_1,6.351010745555464
Catalog/MailOrder,Product_2,6.75
Chemical Manufacturing,Product_1,6.199999999999999
Chemical Manufacturing,Product_2,6.15
Computer Hardware,Product_1,6.307946099922325
Computer Hardware,Product_2,6.3
Concrete/Cement,Product_2,6.55
Conglomerates,Product_1,6.0
Conglomerates,Product_2,6.308104727038594
Constr - Supplies,Product_1,6.25
Constr - Supplies,Product_2,6.25
Constr/Agric Machinery,Product_1,6.475
Constr/Agric Machinery,Product_2,6.37381309805351
Construction Services,Product_1,6.328537556051806
Construction Services,Product_2,6.3019824421531405
Construction/Agriculture,Product_1,6.35
Construction/Agriculture,Product_2,6.25
Consumer Products,Product_1,6.1
Consumer Products,Product_2,6.1000000000000005
Database,Product_1,5.925000000000001
Database,Product_2,5.925
Department/Discount,Product_1,5.825
Department/Discount,Product_2,6.4
ERP,Product_2,5.8500000000000005
Education/Training,Product_1,6.25
Education/Training,Product_2,6.25
Electric Utilities,Product_1,6.1000000000000005
Electric Utilities,Product_2,6.276427395074012
Electronics,Product_1,6.3042393042129365
Electronics,Product_2,6.375
Energy,Product_1,6.125
Energy,Product_2,6.699999999999999
Enterprise,Product_2,6.15
Entertainment/Media,Product_1,6.2
Entertainment/Media,Product_2,6.1
Fabricated Products,Product_1,6.05
Fabricated Products,Product_2,6.175
Finance,Product_1,5.9750000000000005
Finance,Product_2,6.3
Finance Software,Product_1,6.308538216173261
Finance Software,Product_2,6.15
Financial Services,Product_1,6.3
Financial Services,Product_2,6.3044369802538185
Food Processing,Product_1,6.3
Food Processing,Product_2,6.25
Furniture/Fixtures,Product_1,6.304175923197269
Furniture/Fixtures,Product_2,6.15
Gold/Silver,Product_2,5.8999999999999995
Government,Product_1,6.25
Government,Product_2,6.0
Grocery,Product_1,6.3
Grocery,Product_2,6.3500000000000005
Hardware Consulting,Product_1,6.7
Health/Accident,Product_1,6.1499999999999995
Health/Accident,Product_2,6.250389698761326
Healthcare Facilities/Services,Product_1,6.30668538689334
Healthcare Facilities/Services,Product_2,6.25
Home Improvement,Product_1,6.15
Home Improvement,Product_2,6.6000000000000005
Hospitals/Clinics,Product_1,6.300136014085895
Hospitals/Clinics,Product_2,6.225
Hotels/Motels,Product_1,6.30139997189198
Hotels/Motels,Product_2,6.3
Human Resources,Product_1,6.95
Human Resources,Product_2,6.1
ISPs,Product_1,5.8500000000000005
ISPs,Product_2,6.55
Industrial Equip,Product_1,6.4
Industrial Equip,Product_2,6.2
Information Services,Product_1,6.4
Information Services,Product_2,6.27882814361806
Insurance,Product_1,6.291449827236877
Insurance,Product_2,6.25
Internet,Product_1,6.25
Internet Consulting,Product_2,5.8
Internet Software,Product_1,6.299855085071794
Internet Software,Product_2,6.3999999999999995
Investment Bank/Brokerage,Product_1,6.2933709480122015
Investment Bank/Brokerage,Product_2,6.25
Iron/Steel,Product_1,6.39154150482474
Iron/Steel,Product_2,6.25
Legal,Product_1,6.325
Legal,Product_2,6.35
Leisure/Hospitality,Product_1,5.949999999999999
Leisure/Hospitality,Product_2,5.975
Lending/Mortgage,Product_1,6.2
Lending/Mortgage,Product_2,6.075000000000001
Life,Product_1,6.199999999999999
Life,Product_2,6.1000000000000005
MSPs (Mgmt),Product_1,6.3032181701615695
MSPs (Mgmt),Product_2,6.25
Machine Tools,Product_1,6.25
Machine Tools,Product_2,6.074999999999999
Marketing/Advertising,Product_1,6.308350657531762
